comp,log10(Rc),system
Ag5 Cu15 Gd10 Mg65 Pd5,-0.1549019599857432,AgCuGdMgPd
Ag5 Cu7.5 Mg65 Ni7.5 Y10 Zn5,1.6989700043360187,AgCuMgNiYZn
Al10 Cu20 Ni8 Ti5 Zr57,1.0,AlCuNiTiZr
Al10 Fe30 Nd60,1.0791812460476249,AlFeNd
Al10.1 Cu11.7 Ni14.2 Zr64,0.06069784035361165,AlCuNiZr
Al10.3 Cu15.6 Nb2.8 Ni12.8 Zr58.5,0.24303804868629444,AlCuNbNiZr
Al10.7 Cu10.7 Ni15.1 Zr63.5,-0.16749108729376366,AlCuNiZr
Al11.4 Cu9.3 Ni16.3 Zr63,-0.3279021420642826,AlCuNiZr
Al12.1 Cu7.95 Ni17.45 Zr62.5,-0.6020599913279624,AlCuNiZr
Al14 Cu20 La66,1.5740312677277188,AlCuLa
Al19 Co19 Cu7 Zr55,1.2041199826559248,AlCoCuZr
Al20 Co25 Zr55,1.2174839442139063,AlCoZr
Al22.5 Co22.5 Zr55,1.2430380486862944,AlCoZr
Al25 Co5 Cu10 La55 Ni5,1.2741578492636798,AlCoCuLaNi
Al25 Cu10 La55 Ni10,1.3521825181113625,AlCuLaNi
Al25 Cu15 La55 Ni5,1.5550944485783191,AlCuLaNi
Al25 Cu20 La55,1.8591382972945307,AlCuLa
Al25 Cu5 La55 Ni15,1.5378190950732742,AlCuLaNi
Al25 La55 Ni20,1.8293037728310249,AlLaNi
Al7.5 Cu17.5 Ni10 Zr65,0.17609125905568124,AlCuNiZr
Al8 Cu12 Ni14 Zr66,0.9912260756924949,AlCuNiZr
Al8 Cu7 Ni19 Zr66,1.3560258571931227,AlCuNiZr
Al8 Ni26 Zr66,1.823474229170301,AlNiZr
Al9 Cu16 Ni9 Zr66,0.6127838567197355,AlCuNiZr
Au77.8 Ge13.8 Si8.4,6.477121254719663,AuGeSi
B10 Co75 Si15,5.544068044350276,BCoSi
B11 Fe79 Si10,5.2552725051033065,BFeSi
B11 Fe89,7.477121254719663,BFe
B15 Co5 Cr2 Fe61 Mo7 Y2 Zr8,1.568201724066995,BCoCrFeMoYZr
B17 Fe41.5 Ni41.5,5.544068044350276,BFeNi
B17 Fe83,6.0,BFe
B17 Ni75 Si8,5.041392685158225,BNiSi
B6 C15 Cr15 Fe48 Mo14 Y2,1.0492180226701815,BCCrFeMoY
B6.38 C15.96 Co1.06 Cr15.96 Fe43.62 Mo14.89 Y2.13,0.8129133566428556,BCCoCrFeMoY
B9 Fe91,7.414973347970818,BFe
Be20 Cu12 Ni3 Ti40 Zr25,0.505149978319906,BeCuNiTiZr
Be20 Cu15.25 Ni9.75 Ti16.5 Zr38.5,0.146128035678238,BeCuNiTiZr
Be20.02 Cu15.17 Ni9.76 Ti16.52 Zr38.54,0.146128035678238,BeCuNiTiZr
Be21.25 Cu13.77 Ni9.98 Ti15.12 Zr39.88,0.146128035678238,BeCuNiTiZr
Be22.5 Cu12.5 Ni10 Ti13.8 Zr41.2,0.146128035678238,BeCuNiTiZr
Be23.75 Cu11.25 Ni10 Ti12.37 Zr42.63,0.6989700043360189,BeCuNiTiZr
Be25 Cu10 Ni10 Ti11 Zr44,1.0969100130080565,BeCuNiTiZr
Be26.25 Cu8.75 Ni10 Ti9.62 Zr45.38,1.2430380486862944,BeCuNiTiZr
Be27.5 Cu7.5 Ni10 Ti8.25 Zr46.75,1.4471580313422192,BeCuNiTiZr
Be27.64 Cu7.54 Ni10.05 Ti8.29 Zr46.48,1.4471580313422192,BeCuNiTiZr
Be35 Zr65,7.0,BeZr
Be37 Ti63,6.799340549453582,BeTi
C7 Fe80 P13,4.447158031342219,CFeP
Ca65 Mg15 Zn20,1.3010299956639813,CaMgZn
Cu25 Gd10 Mg65,0.0,CuGdMg
Cu25 Mg65 Y10,1.6989700043360187,CuMgY
Cu25 Ni10 P20 Pd45,-1.0,CuNiPPd
Cu25 Ni15 P20 Pd40,-0.8239087409443188,CuNiPPd
Cu26 Ni10 P20 Pd44,-1.0,CuNiPPd
Cu27.5 Ni10 P20 Pd42.5,-1.080921907623926,CuNiPPd
Cu28 Ni8.8 P20 Pd43.2,-2.0457574905606752,CuNiPPd
Cu30 Ni10 P20 Pd40,-1.0,CuNiPPd
Cu30 Ni12.5 P20 Pd37.5,-0.8761483590329142,CuNiPPd
Cu30 Ni5 P20 Pd45,-1.080921907623926,CuNiPPd
Cu30 Ni7.5 P20 Pd42.5,-1.1739251972991736,CuNiPPd
Cu32.5 Ni10 P20 Pd37.5,-1.8860566476931633,CuNiPPd
Cu32.5 Ni7.5 P20 Pd40,-0.8761483590329142,CuNiPPd
Cu32.5 P20 Pd30 Pt17.5,-1.1739251972991736,CuPPdPt
Cu4 Pd79.5 Si16.5,2.6989700043360187,CuPdSi
Cu47 Ni8 Ti34 Zr11,2.0,CuNiTiZr
Cu6 Pd77 Si17,2.0969100130080562,CuPdSi
Cu6 Pd77.5 Si16.5,2.425968732272281,CuPdSi
Mg65 Nd15 Ni20,1.4771212547196624,MgNdNi
Mg70 Nd15 Ni15,2.2506639194632436,MgNdNi
Mg75 Nd10 Ni15,1.6138418218760693,MgNdNi
Mg77 Nd5 Ni18,4.690196080028514,MgNdNi
Mg80 Nd10 Ni10,3.0971531498459597,MgNdNi
Mg90 Nd5 Ni5,4.724275869600789,MgNdNi
Nb37.6 Ni62.4,3.146128035678238,NbNi
Nb40 Ni60,3.146128035678238,NbNi
Nb7 Ni59 Si3 Sn2 Ti13 Zr16,1.6020599913279623,NbNiSiSnTiZr
Ni15 P25 Pt60,3.6020599913279625,NiPPt
Ni40 P20 Pd40,-0.7772835288524167,NiPPd
Pd75 Si25,6.0,PdSi
Pd82 Si18,3.255272505103306,PdSi
Pd95 Si5,7.698970004336019,PdSi
